,CreatedDate,Invested_Value,Invested_Value_NoImpact
0,2020-04-14,22810028.74507,22810028.74507
1,2020-05-19,23233042.55557,23233042.55557
2,2020-06-10,27163567.08855,27163567.08855
3,2020-07-16,27892886.21633,27892886.21633
4,2020-08-11,27558371.12937,27558371.12937
5,2020-09-28,29017858.211290002,29017858.211290002
6,2020-11-11,30648541.25234,30648541.25234
7,2021-01-21,35851542.89972,35851542.89972
8,2021-03-03,36844182.52508,36844182.52508
9,2021-04-01,35953834.80884,35953834.80884
10,2021-05-03,38360999.757530004,38360999.757530004
11,2021-07-15,40633329.880449995,40633329.880449995
12,2021-08-09,41588193.88705,41588193.88705
13,2021-09-02,41978652.18545,41978652.18545
14,2021-10-19,42298119.62682,42298119.62682
15,2021-12-14,37865863.41388,37865863.41388
16,2022-01-25,36313248.50218,36313248.50218
17,2022-02-16,35264218.70534,35264218.70534
18,2022-03-16,32170894.04648,32170894.04648
19,2022-04-11,32425965.43659,32425965.43659
20,2022-07-15,29073807.94895,29073807.94895
21,2022-08-08,31742448.211629998,31742448.211629998
22,2022-09-14,30627855.98356,30627855.98356
23,2022-10-19,27547679.594469998,27547679.594469998
24,2022-11-09,27398899.23447,27398899.23447
25,2022-12-16,29325549.33371,29325549.33371
26,2023-01-27,31303195.992289998,31303195.992289998
27,2023-02-08,36814281.41339,36814281.41339
28,2023-03-09,36467038.01863,36467038.01863
29,2023-04-09,36364864.04472427,36398961.952705815
30,2023-05-09,36447246.08173238,36515479.93855226
31,2023-06-09,36482049.37743206,36584472.65326235
32,2023-07-09,36460585.137282975,36597446.20516066
33,2023-08-09,36765351.37277179,36937462.85321062
34,2023-09-09,36925680.46747884,37132735.15563772
35,2023-10-09,36994916.281781256,37236622.048043385
36,2023-11-09,36836885.9008519,37112643.3221308
37,2023-12-09,36986643.922726415,37297994.061776355
38,2024-01-09,36979380.33231972,37325684.302026905
39,2024-02-09,36981907.8011286,37363196.482390024
40,2024-03-09,37005019.50361883,37421474.508638546
41,2024-04-09,37238320.18882962,37691457.825748645
42,2024-05-09,37557866.978287786,38048278.441222936
43,2024-06-09,37785533.36677108,38313740.43771251
44,2024-07-09,37797947.3520133,38361346.93659115
45,2024-08-09,37971052.95766619,38571458.97237293
46,2024-09-09,38128796.23281713,38767517.85184609
47,2024-10-09,38328701.4231881,39003763.77500285
48,2024-11-09,38456746.47643627,39168531.17227886
49,2024-12-09,38594838.573805265,39345135.86032655
50,2025-01-09,38669196.5540098,39456604.00161025
51,2025-02-09,38895675.011953205,39720874.795029506
